TITLE = "PROPAN_40"
VARIABLES="r/R","POTW","POT(1)","POT(N)","CP(1)","CP(N)","DELTACP"
ZONE T="BLADE WAKE T=0", I=    21 F=POINT
   0.3004627080227494E+00  -0.4334793153832300E-02   0.2017948589694572E+00   0.1973289708327888E+00   0.9010116246470007E+00   0.9010416219336508E+00   0.2999728665009638E-04
   0.3168406490677329E+00  -0.3206502652442316E-02   0.2007386064835519E+00   0.1974754573381471E+00   0.8820638242903773E+00   0.8820795888656552E+00   0.1576457527785458E-04
   0.3323961157685058E+00  -0.1545641012532444E-02   0.1993271545390967E+00   0.1976987056646029E+00   0.8602989650459283E+00   0.8603197111984773E+00   0.2074615254898937E-04
   0.3552859789383376E+00   0.1311551602912338E-02   0.1971718695072783E+00   0.1983975477332270E+00   0.8317150256784117E+00   0.8317353897630783E+00   0.2036408466654649E-04
   0.3849892511075458E+00   0.5589304985029515E-02   0.1943968630731505E+00   0.1998903232883914E+00   0.7960476496248605E+00   0.7960675917726348E+00   0.1994214777423231E-04
   0.4208296718254219E+00   0.1097381264124431E-01   0.1914001788179389E+00   0.2022482983739702E+00   0.7531564860823171E+00   0.7531799740165660E+00   0.2348793424888918E-04
   0.4619919806120196E+00   0.1671143487597461E-01   0.1886372034145587E+00   0.2051849255065126E+00   0.7075990702416768E+00   0.7076238250225667E+00   0.2475478088992400E-04
   0.5075409951678820E+00   0.2265578782722704E-01   0.1860242837230718E+00   0.2084558871025755E+00   0.6445991759524222E+00   0.6446236131956009E+00   0.2443724317868767E-04
   0.5564396490616224E+00   0.2881297563878373E-01   0.1834160662873886E+00   0.2119276922549496E+00   0.5550755100199450E+00   0.5550961957844511E+00   0.2068576450608983E-04
   0.6075755784502673E+00   0.3475468753366576E-01   0.1810577899771036E+00   0.2154389419839980E+00   0.4499016826624127E+00   0.4499167221121765E+00   0.1503944976377625E-04
